target_station_id,date,hour,period,pickup,dropoff,is_empty_0,is_empty_1,is_full_0,is_full_1
3237,2017-02-04,1,2,0,0,0,30,30,0
3237,2017-02-04,2,1,0,0,0,30,30,0
3237,2017-02-04,2,2,0,0,0,30,30,0
3237,2017-02-04,3,1,0,0,0,30,30,0
3237,2017-02-04,3,2,0,0,0,30,30,0
3237,2017-02-04,4,1,0,0,0,30,30,0
3237,2017-02-04,4,2,0,0,0,30,30,0
3237,2017-02-04,5,1,0,0,0,30,30,0
3237,2017-02-04,5,2,0,0,0,30,30,0
3237,2017-02-04,6,1,0,0,0,30,30,0
3237,2017-02-04,6,2,0,0,0,30,30,0
3237,2017-02-04,7,1,0,0,0,30,30,0
3237,2017-02-04,7,2,0,0,0,30,30,0
3237,2017-02-04,8,1,0,0,0,30,30,0
3237,2017-02-04,8,2,0,0,0,30,30,0
3237,2017-02-04,9,1,0,0,0,30,30,0
3237,2017-02-04,9,2,0,0,0,30,30,0
3237,2017-02-04,10,1,0,0,0,30,30,0
3237,2017-02-04,10,2,0,0,0,30,30,0
3237,2017-02-04,11,1,0,0,0,30,30,0
3237,2017-02-04,11,2,0,0,0,30,30,0
3237,2017-02-04,12,1,0,0,0,30,30,0
3237,2017-02-04,12,2,0,0,0,30,30,0
3237,2017-02-04,13,1,0,0,0,30,30,0
3237,2017-02-04,13,2,0,0,0,30,30,0
3237,2017-02-04,14,1,0,0,0,30,30,0
3237,2017-02-04,14,2,0,0,0,30,30,0
3237,2017-02-04,15,1,0,0,0,30,30,0
3237,2017-02-04,15,2,0,0,0,30,30,0
3237,2017-02-04,16,1,0,0,0,30,30,0
3237,2017-02-04,16,2,0,0,0,30,30,0
3237,2017-02-04,17,1,0,0,0,30,30,0
3237,2017-02-04,17,2,0,0,0,30,30,0
3237,2017-02-04,18,1,0,0,0,30,30,0
3237,2017-02-04,18,2,0,0,0,30,30,0
3237,2017-02-04,19,1,0,0,0,30,30,0
3237,2017-02-04,19,2,0,0,0,30,30,0
3237,2017-02-04,20,1,0,0,0,30,30,0
3237,2017-02-04,20,2,0,0,0,30,30,0
3237,2017-02-04,21,1,0,0,0,30,30,0
3237,2017-02-04,21,2,0,0,0,30,30,0
3237,2017-02-04,22,1,0,0,0,30,30,0
3237,2017-02-04,22,2,0,0,0,30,30,0
3237,2017-02-04,23,1,0,0,0,30,30,0
3237,2017-02-04,23,2,0,0,0,30,30,0
3237,2017-02-05,0,1,0,0,0,30,30,0
3237,2017-02-05,0,2,0,0,0,30,30,0
3237,2017-02-05,1,1,0,0,0,30,30,0
3237,2017-02-05,1,2,0,0,0,30,30,0
3237,2017-02-05,2,1,0,0,0,30,30,0
3237,2017-02-05,2,2,0,0,0,30,30,0
3237,2017-02-05,3,1,0,0,0,30,30,0
3237,2017-02-05,3,2,0,0,0,30,30,0
3237,2017-02-05,4,1,0,0,0,30,30,0
3237,2017-02-05,4,2,0,0,0,30,30,0
3237,2017-02-05,5,1,0,0,0,30,30,0
3237,2017-02-05,5,2,0,0,0,30,30,0
3237,2017-02-05,6,1,0,0,0,30,30,0
3237,2017-02-05,6,2,0,0,0,30,30,0
3237,2017-02-05,7,1,0,0,0,30,30,0
3237,2017-02-05,7,2,0,0,0,30,30,0
3237,2017-02-05,8,1,0,0,0,30,30,0
3237,2017-02-05,8,2,0,0,0,30,30,0
3237,2017-02-05,9,1,0,0,0,30,30,0
3237,2017-02-05,9,2,0,0,0,30,30,0
3237,2017-02-05,10,1,0,0,0,30,30,0
3237,2017-02-05,10,2,0,0,0,30,30,0
3237,2017-02-05,11,1,0,0,0,30,30,0
3237,2017-02-05,11,2,0,0,0,30,30,0
3237,2017-02-05,12,1,0,0,0,30,30,0
3237,2017-02-05,12,2,0,0,0,30,30,0
3237,2017-02-05,13,1,0,0,0,30,30,0
3237,2017-02-05,13,2,0,0,0,30,30,0
3237,2017-02-05,14,1,0,0,0,30,30,0
3237,2017-02-05,14,2,0,0,0,30,30,0
3237,2017-02-05,15,1,0,0,0,30,30,0
3237,2017-02-05,15,2,0,0,0,30,30,0
3237,2017-02-05,16,1,0,0,0,30,30,0
3237,2017-02-05,16,2,0,0,0,30,30,0
3237,2017-02-05,17,1,0,0,0,30,30,0
3237,2017-02-05,17,2,0,0,0,30,30,0
3237,2017-02-05,18,1,0,0,0,30,30,0
3237,2017-02-05,18,2,0,0,0,30,30,0
3237,2017-02-05,19,1,0,0,0,30,30,0
3237,2017-02-05,19,2,0,0,0,30,30,0
3237,2017-02-05,20,1,0,0,0,30,30,0
3237,2017-02-05,20,2,0,0,0,30,30,0
