target_station_id,nearby_station_id_1,nearby_station_id_2,date,hour,period,pickup,dropoff,"is_empty_(0, 0, 0)","is_empty_(0, 0, 1)","is_empty_(0, 1, 0)","is_empty_(0, 1, 1)","is_empty_(1, 0, 0)","is_empty_(1, 0, 1)","is_empty_(1, 1, 0)","is_empty_(1, 1, 1)","is_full_(0, 0, 0)","is_full_(0, 0, 1)","is_full_(0, 1, 0)","is_full_(0, 1, 1)","is_full_(1, 0, 0)","is_full_(1, 0, 1)","is_full_(1, 1, 0)","is_full_(1, 1, 1)"
519,517,3235,2017-03-01,13,1,1,1,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
519,517,3235,2017-03-01,13,2,2,8,27,0,3,0,0,0,0,0,21,9,0,0,0,0,0,0
519,517,3235,2017-03-01,14,1,4,11,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,14,2,11,4,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,15,1,7,6,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,15,2,5,16,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,16,1,16,12,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,16,2,26,27,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,17,1,48,55,28,0,2,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,17,2,54,49,19,0,11,0,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,18,1,81,67,0,1,0,29,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,18,2,45,41,0,3,16,11,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,19,1,17,18,0,3,6,21,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,19,2,14,15,0,0,8,15,7,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,20,1,11,9,0,3,0,16,11,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,20,2,5,5,0,0,0,18,12,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,21,1,4,4,0,0,0,15,15,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,21,2,1,3,0,0,0,12,18,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,22,1,4,4,0,14,0,16,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,22,2,2,3,0,16,0,14,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,23,1,2,1,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-01,23,2,4,3,0,0,0,21,9,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-02,0,1,0,1,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-02,0,2,1,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0
519,517,3235,2017-03-02,1,1,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0
