temperature,humidity,visibility,windspeed,condition
0,57.200000000000003,72.0,72.0,72.0,72.0
1,55.399999999999999,72.0,72.0,72.0,72.0
2,55.399999999999999,77.0,77.0,77.0,77.0
3,55.399999999999999,77.0,77.0,77.0,77.0
4,55.399999999999999,77.0,77.0,77.0,77.0
5,57.200000000000003,72.0,77.0,77.0,77.0
6,55.399999999999999,77.0,77.0,77.0,77.0
7,57.200000000000003,72.0,72.0,72.0,72.0
8,60.799999999999997,63.0,63.0,63.0,63.0
9,60.799999999999997,63.0,63.0,63.0,63.0
10,62.600000000000001,68.0,68.0,68.0,68.0
11,62.600000000000001,68.0,68.0,68.0,68.0
12,60.799999999999997,68.0,68.0,68.0,68.0
13,57.200000000000003,72.0,68.0,68.0,68.0
14,55.399999999999999,88.0,88.0,88.0,88.0
15,51.799999999999997,88.0,88.0,88.0,88.0
16,48.200000000000003,87.0,87.0,87.0,87.0
17,48.200000000000003,87.0,87.0,87.0,87.0
18,46.399999999999999,87.0,87.0,87.0,87.0
19,41.0,53.0,53.0,53.0,53.0
20,44.600000000000001,87.0,87.0,87.0,87.0
21,57.200000000000003,72.0,87.0,87.0,87.0
22,42.799999999999997,81.0,81.0,81.0,81.0
23,42.799999999999997,81.0,81.0,81.0,81.0
