temperature,humidity,visibility,windspeed,condition
0,75.0,83.0,10.0,5.1999999999999993,2
1,75.36666666666666,84.0,10.0,4.2333333333333334,3
2,75.900000000000006,86.0,7.0,3.5,1
3,75.900000000000006,87.0,7.0,6.9000000000000004,1
4,75.900000000000006,87.0,8.0,5.2000000000000002,3
5,75.900000000000006,87.0,8.0,4.0499999999999998,3
6,76.450000000000003,86.5,6.0,5.1999999999999993,3
7,77.0,84.0,6.0,4.5999999999999996,1
8,78.099999999999994,84.0,6.0,5.1999999999999993,1
9,79.0,79.0,7.0,4.5999999999999996,1
10,81.0,74.0,7.0,6.9000000000000004,1
11,84.900000000000006,69.0,7.0,5.1999999999999993,1
12,82.900000000000006,74.0,7.0,4.5999999999999996,1
13,86.0,67.0,6.0,5.7999999999999998,1
14,87.099999999999994,65.0,6.0,3.5,1
15,84.450000000000003,73.0,3.8999999999999999,5.1999999999999993,1
16,74.175000000000011,92.75,2.9249999999999998,3.8666666666666667,2
17,80.099999999999994,85.0,8.0,5.1999999999999993,1
18,81.0,85.0,8.0,5.1999999999999993,1
19,80.099999999999994,85.0,7.0,5.1999999999999993,1
20,79.0,84.0,8.0,5.1999999999999993,1
21,80.099999999999994,81.0,7.0,5.1999999999999993,1
22,80.099999999999994,79.0,7.0,5.1999999999999993,1
23,82.0,69.0,9.0,5.1999999999999993,1
