temperature,humidity,visibility,windspeed,condition
0,68.0,93.0,7.0,3.5,1
1,68.0,93.0,6.0,3.5,1
2,69.099999999999994,93.0,4.0,3.5,1
3,68.0,90.0,6.0,3.5,2
4,66.900000000000006,93.0,4.0,3.5,1
5,68.0,89.5,2.875,3.5,4
6,68.0,92.0,3.6666666666666665,3.5,3
7,68.36666666666666,92.0,6.333333333333333,3.5,3
8,72.0,76.0,9.0,4.5999999999999996,1
9,72.5,77.0,8.0,4.5999999999999996,2
10,75.0,71.0,9.0,3.5,1
11,78.099999999999994,62.0,9.0,3.5,2
12,80.099999999999994,58.0,9.0,3.5,1
13,82.0,49.0,10.0,5.7999999999999998,1
14,81.0,47.0,10.0,8.0999999999999996,1
15,81.0,45.0,10.0,3.5,1
16,82.0,41.0,10.0,4.5999999999999996,1
17,82.0,41.0,10.0,6.9000000000000004,1
18,81.0,44.0,10.0,4.5999999999999996,1
19,79.0,45.0,10.0,3.5,1
20,78.099999999999994,45.0,10.0,4.5999999999999996,1
21,77.0,47.0,10.0,4.5999999999999996,1
22,75.0,51.0,10.0,3.5,1
23,73.0,57.0,10.0,3.5,1
