temperature,humidity,visibility,windspeed,condition
0,42.799999999999997,87.0,87.0,87.0,87.0
1,41.0,87.0,87.0,87.0,87.0
2,41.0,81.0,81.0,81.0,81.0
3,39.200000000000003,81.0,81.0,81.0,81.0
4,39.200000000000003,75.0,75.0,75.0,75.0
5,39.200000000000003,75.0,75.0,75.0,75.0
6,39.200000000000003,75.0,75.0,75.0,75.0
7,37.399999999999999,75.0,75.0,75.0,75.0
8,37.399999999999999,75.0,75.0,75.0,75.0
9,37.399999999999999,75.0,75.0,75.0,75.0
10,39.200000000000003,65.0,65.0,65.0,65.0
11,42.799999999999997,53.0,53.0,53.0,53.0
12,43.249999999999993,51.25,51.25,51.25,51.25
13,44.600000000000001,39.0,39.0,39.0,39.0
14,46.399999999999999,40.0,40.0,40.0,40.0
15,44.600000000000001,43.0,43.0,43.0,43.0
16,44.600000000000001,43.0,43.0,43.0,43.0
17,42.799999999999997,49.0,49.0,49.0,49.0
18,42.799999999999997,49.0,49.0,49.0,49.0
19,41.0,53.0,53.0,53.0,53.0
20,39.200000000000003,52.0,52.0,52.0,52.0
21,39.200000000000003,56.0,56.0,56.0,56.0
22,42.799999999999997,87.0,56.0,56.0,56.0
23,37.399999999999999,60.0,60.0,60.0,60.0
