temperature,humidity,visibility,windspeed,condition
0,72.0,64.0,10.0,3.5,1
1,70.0,68.0,10.0,3.5,1
2,69.099999999999994,73.0,10.0,3.5,1
3,70.0,76.0,10.0,3.5,1
4,70.0,76.0,10.0,3.5,3
5,69.099999999999994,78.0,8.0,3.5,1
6,69.099999999999994,84.0,5.0,3.5,1
7,70.0,84.0,6.0,3.5,1
8,73.0,73.0,7.0,3.5,1
9,75.900000000000006,67.0,8.0,3.5,1
10,77.0,58.0,10.0,4.5999999999999996,1
11,81.0,52.0,10.0,3.5,1
12,82.900000000000006,42.0,10.0,5.7999999999999998,1
13,82.0,49.0,10.0,3.5,1
14,82.0,47.0,10.0,3.5,1
15,79.0,58.0,10.0,4.5999999999999996,1
16,79.0,58.0,10.0,4.5999999999999996,1
17,77.0,64.0,10.0,4.5999999999999996,1
18,75.900000000000006,71.0,10.0,4.5999999999999996,1
19,75.0,76.0,10.0,3.5,2
20,75.0,76.0,10.0,4.5999999999999996,2
21,75.0,76.0,10.0,3.5,1
22,73.900000000000006,73.0,10.0,3.5,1
23,73.900000000000006,71.0,10.0,3.5,1
