temperature,humidity,visibility,windspeed,condition
0,33.100000000000001,48.0,10.0,3.5,1
1,34.0,49.0,10.0,3.5,2
2,33.699999999999996,52.0,10.0,4.5999999999999996,3
3,32.0,59.0,4.0,3.5,1
4,32.0,59.0,2.5,4.5999999999999996,1
5,31.725000000000001,61.75,3.375,3.5,4
6,31.560000000000002,62.200000000000003,2.5,3.5,5
7,30.899999999999995,67.666666666666671,2.0,3.5,3
8,32.0,66.0,5.0,4.5999999999999996,1
9,31.449999999999999,67.5,7.5,5.2000000000000002,1
10,33.100000000000001,61.0,10.0,3.5,1
11,35.100000000000001,57.0,10.0,9.1999999999999993,1
12,36.0,55.0,10.0,8.0999999999999996,1
13,37.899999999999999,51.0,10.0,3.5,1
14,39.0,50.0,10.0,8.0999999999999996,1
15,39.0,50.0,10.0,5.7999999999999998,1
16,37.899999999999999,53.0,10.0,5.7999999999999998,1
17,37.899999999999999,55.0,10.0,5.7999999999999998,1
18,37.0,54.0,10.0,6.9000000000000004,1
19,35.100000000000001,54.0,10.0,8.0999999999999996,1
20,34.0,48.0,10.0,10.4,1
21,33.100000000000001,46.0,10.0,9.1999999999999993,1
22,32.0,48.0,10.0,10.4,1
23,30.899999999999999,46.0,10.0,8.0999999999999996,1
