temperature,humidity,visibility,windspeed,condition
0,45.0,63.0,63.0,4.5999999999999996,1
1,45.0,63.0,63.0,6.9000000000000004,1
2,45.0,63.0,63.0,4.5999999999999996,1
3,45.0,63.0,63.0,3.5,1
4,44.100000000000001,65.0,65.0,5.7999999999999998,1
5,43.0,68.0,68.0,4.5999999999999996,1
6,44.100000000000001,63.0,63.0,4.5999999999999996,1
7,43.0,65.0,65.0,4.5999999999999996,1
8,44.100000000000001,65.0,65.0,4.5999999999999996,1
9,46.0,54.0,54.0,4.5999999999999996,1
10,48.899999999999999,48.0,48.0,3.5,1
11,50.0,46.0,46.0,4.5999999999999996,1
12,53.100000000000001,43.0,43.0,3.5,1
13,54.0,37.0,37.0,5.7999999999999998,1
14,54.0,35.0,35.0,4.5999999999999996,1
15,54.0,33.0,33.0,3.5,1
16,51.100000000000001,43.0,43.0,4.5999999999999996,1
17,50.0,46.0,46.0,3.5,1
18,50.0,46.0,46.0,3.5,1
19,48.899999999999999,48.0,48.0,5.7999999999999998,1
20,48.899999999999999,50.0,50.0,6.9000000000000004,1
21,46.899999999999999,54.0,54.0,4.5999999999999996,1
22,45.0,56.0,56.0,3.5,1
23,44.100000000000001,58.0,58.0,8.0999999999999996,1
